phase_(f*t)[-],z_mat_sin_01[mm],z_mat_sin_02[mm],z_mat_sin_03[mm],z_mat_sin_04[mm],z_mat_sin_05[mm],z_mat_sin_06[mm],z_mat_sin_07[mm],z_mat_sin_08[mm],z_mat_sin_09[mm],z_mat_sin_10[mm],z_mat_sin_11[mm],z_mat_sin_12[mm],z_mat_sin_13[mm],z_mat_sin_14[mm],z_mat_sin_15[mm]
0.82941,40.9597915794198,78.0163337828417,117.119615762652,155.86010219649,195.319456529292,230.386416847871,268.958310038853,306.69188321106,343.395574050347,382.537167547261,420.631974443331,458.27440028228,496.661666886926,528.193850251303,553.378522558311
0.83941,40.9611520702934,78.016298156127,117.118852837327,155.857122332865,195.31971528162,230.387430309805,268.961942991973,306.698509695714,343.406147185313,382.547358849803,420.646690840725,458.289216755816,496.677131301011,528.212429985135,553.398796334221
0.84941,40.9624297239768,78.016326751718,117.118127811081,155.853924499271,195.320078927073,230.388598721049,268.965872522701,306.705746576854,343.418338102551,382.559215001365,420.663365134301,458.30650031876,496.695428524141,528.234087276293,553.422429468196
0.85941,40.9636194981547,78.0164194567606,117.117443545262,155.850521316097,195.320546030508,230.389917470418,268.970083122975,306.713565293816,343.43209869008,382.572689211136,420.681931518243,458.326182760785,496.716486345535,528.258736653342,553.449328691055
0.86941,40.9647166973321,78.0165759053906,117.116802740353,155.846926214153,195.321114748482,230.391381353411,268.974558175479,306.721934989697,343.447374641148,382.587728302564,420.702316719513,458.348186404286,496.740221659592,528.286280836452,553.479387843852
0.87941,40.965716991365,78.0167954801767,117.116207925321,155.843153381662,195.321782836524,230.392984592749,268.979280019225,306.73082263313,343.464105668555,382.604272923226,420.724440287036,458.372424410933,496.766540793872,528.316611121317,553.512488296847
0.88941,40.9666164325498,78.0170773145574,117.115661447627,155.839217708272,195.322547657996,230.39472086118,268.984230019253,306.740193148648,343.482225742579,382.622257779064,420.748214909198,458.398801124387,496.795339878776,528.349607808159,553.548499417671
0.89941,40.9674114712031,78.0174202962612,117.115165463969,155.835134726287,195.323406194498,230.396583306446,268.989388640175,306.750009555106,343.501663351567,382.641611892067,420.773546758428,458.427212447811,496.826505257473,528.385140674129,553.587279086884
0.90941,40.9680989696706,78.0178230716962,117.114721931769,155.830920549371,195.324355057778,230.398564578326,268.994735523271,306.760233111633,343.522341784156,382.662258880394,420.800335861488,458.457546254692,496.859913934451,528.423069487239,553.628674258847
0.91941,40.9686762147099,78.0182840512915,117.114332601445,155.826591808956,195.325390503106,230.400656857645,269.000249566835,306.770823470522,343.54417943202,382.684117259815,420.828476494028,458.489682831352,496.895434060924,528.463244559792,553.672521565729
0.92941,40.9691409281986,78.0188014157714,117.113999009506,155.822165588603,195.326508444053,230.402851887133,269.005909009457,306.781738836465,343.567090111939,382.707100765291,420.857857597829,458.523495349404,496.932925455182,528.50550733913,553.718647962242
0.93941,40.9694912761248,78.0193731233346,117.113722472487,155.817659356581,195.327704468615,230.40514100401,269.011691515903,306.792936131499,343.590983405926,382.731118691428,420.888363219095,458.558850366287,496.97224015582,528.549691033372,553.76687140857
0.94941,40.9697258758253,78.0199969177125,117.113504081754,155.813090896928,195.328973856632,230.407515174179,269.017574265261,306.804371165016,343.615765018066,382.756076250443,420.919872966076,458.595608351902,497.013223005675,528.595621269662,553.817001588804
0.95941,40.9698438014423,78.0206703370738,117.113344699195,155.80847823927,195.330311598408,230.409965027874,269.023534041007,306.815998808164,343.641337146658,382.781874946253,420.952262484198,458.633624239272,497.055712264162,528.643116782341,553.868840662024
0.96941,40.9698445875772,78.0213907237399,117.11324495382,155.803839587656,195.331712414487,230.412480896643,269.029547322629,306.827773171946,343.667598870193,382.808412963192,420.985403946828,458.672747997058,497.099540245589,528.691990128318,553.92218404309
0.97941,40.9697282311275,78.0221552346737,117.113205239278,155.799193248727,195.333170776489,230.415052851499,269.035590378452,306.839647788328,343.694446545645,382.835585567831,421.019166559755,458.712825221663,497.144533980937,528.742048426826,553.976821210049
0.98941,40.969495191299,78.0229608526997,117.113225712305,155.79455755946,195.334680928924,230.417670742114,269.041639359295,306.851575793624,343.721774217505,382.863285522314,421.05341707737,458.753697746589,497.190515900488,528.79309412063,554.032536534963
0.99941,40.9691463877934,78.0238043984119,117.113306292103,155.789950814802,195.336236911912,230.420324236867,269.047670392594,306.863510113448,343.749474035938,382.891403507575,421.088020328528,458.795204266655,497.237304534612,528.844925755697,554.089110134898
