phase_(f*t)[-],d_mat_sin_01[mm],d_mat_sin_02[mm],d_mat_sin_03[mm],d_mat_sin_04[mm],d_mat_sin_05[mm],d_mat_sin_06[mm],d_mat_sin_07[mm],d_mat_sin_08[mm],d_mat_sin_09[mm],d_mat_sin_10[mm],d_mat_sin_11[mm],d_mat_sin_12[mm],d_mat_sin_13[mm],d_mat_sin_14[mm]
0.80565,0.684002479159605,2.70311385725912,5.6883348041515,9.35887830589053,13.7480704980106,17.9788480990626,22.9267259402734,26.5076716132315,34.3288453912132,39.9534807728285,45.4645333472893,50.8668736490499,56.7352877422043,61.4585264848698
0.81565,0.656048518031713,2.61669367631204,5.51352756036464,9.07061659043841,13.316666947595,17.3994609143041,22.1737709690764,25.5025240021268,33.1411574337663,38.5447270258286,43.8526467715916,49.0280325844656,54.6716286734137,59.2071263438539
0.82565,0.629222955691856,2.53402631487946,5.34617041503837,8.79470239402621,12.9035063661616,16.844569215812,21.4527723456478,24.5407049957238,32.0022576901,37.1941814259875,42.3087844506018,47.2672699102686,52.6954075042723,57.0511132165396
0.83565,0.603631660379154,2.45543802326983,5.18692385036706,8.53222462393397,12.5102193097701,16.3163629076145,20.7665755221613,23.6260104542272,30.9166408771887,35.9071739597822,40.8390393035773,45.5915345523178,50.8144234768852,54.9989959017517
0.84565,0.579375629244657,2.38123895356656,5.03641633978866,8.28421916000555,12.1383579027563,15.8169265786954,20.1178886039858,22.7620502591083,29.8885914286219,34.688783857704,39.4492117431507,44.0074398725004,49.0360999758685,53.0588731690085
0.85565,0.556550589761727,2.31172193559943,4.89524186768707,8.05166476650416,11.7893897122065,15.3482312760743,19.5092716620305,21.9522340665513,28.9221665859018,33.5438195488563,38.1447867837513,42.5212375688137,47.3674552316422,51.2384017963783
0.86565,0.535246621933432,2.24716132127906,4.76395758520719,7.83547922937695,11.4646919561404,14.912126725984,18.9431266293145,21.1997578510985,28.0211803863652,32.4767996842817,36.9309123947585,41.1387930027691,45.8150746226803,49.5447663526747
0.87565,0.515547802787935,2.18781190185523,4.64308161143389,7.63651573417318,11.1655460682607,14.5103340338467,18.421687821635,20.5075912925984,27.1891886109202,31.4919353039106,35.8123791838195,39.8655620514899,44.3850846860312,47.9846508432455
0.88565,0.497531874564869,2.13390790237224,4.53309098861268,7.45555949891066,10.8931326407203,14.1444388918565,17.9470131197431,19.8784660562368,26.4294747510037,30.5931132175107,34.7936014905084,38.706569575857,43.0831289386747,46.5642123312574
0.89565,0.481269937902235,2.08566205728964,4.43441979948188,7.29332467517891,10.6485267648637,13.8158853209772,17.520975847829,19.3148650119014,25.7450370501404,29.7838806652242,33.8785999649456,37.6663895896782,41.9143456051384,45.2890566385807
0.90565,0.466826171234668,2.04326477091656,4.34745745414643,7.15045152970918,10.4326937883333,13.5259699720513,17.1452573803669,18.8190124354296,25.1385766712459,29.0674313182318,33.0709857001281,36.7491272081461,40.8833473392736,44.1642162221711
0.91565,0.454257577510477,2.00688336597283,4.27254715325405,7.02750391753409,10.2464855052825,13.2758370085113,16.8213405064986,18.3928652304071,24.6124870363701,28.4465926747916,32.3739459805951,35.9584024468233,39.9942030202174,43.1941303132615
0.92565,0.443613759227045,1.97666142324267,4.2099845335391,6.92496705670949,10.0906367947343,13.0664735908894,16.5505035781416,18.0381052051641,24.1688443809546,27.9238149013949,31.7902317036726,35.2973359350949,39.2504216943856,42.3826273977442
0.93565,0.434936722672441,1.95271821492696,4.16001650107944,6.8432456133804,9.96576272034853,12.8987059809458,16.3338154649186,17.7561324354456,23.8093995598792,27.5011611630789,31.3221465229378,34.7685366004701,38.6549387268699,41.7329101068864
0.94565,0.428260712145783,1.9351482339303,4.12284025687098,6.78266210474868,9.87235610304734,12.7731962807914,16.172131335817,17.5480597389528,23.5355711376379,27.1802994810567,30.9715377567514,34.3740913723373,38.2101042168929,41.2475425780075
0.95565,0.423612074810642,1.92402082094073,4.09860251856539,6.74345562624492,9.81078557607578,12.6904398198726,16.066089284228,17.4147082835592,23.348439789913,26.9624961497994,30.7397890977356,34.115556945807,37.9176737230398,40.9284403350007
0.96565,0.421009156714819,1.91937989077368,4.08739894144261,6.72578090792805,9.78129413017491,12.6507632001329,16.0161078096831,17.3566043465369,23.2487440386418,26.8486107395506,30.6278151519716,33.9939536381475,37.7788013348712,40.7768627286351
0.97565,0.420462230386878,1.92124375906028,4.0892737409031,6.72970770383643,9.78399815460833,12.654323007064,16.0223841662281,17.3739772375801,23.236877337408,26.8390927039953,30.6360578294673,34.0097613620591,37.7940351182583,40.7934079664739
0.98565,0.421973454295168,1.92960506996394,4.1042195179699,6.75522051670062,9.81888697782696,12.701105191734,16.0848935839511,17.4667583938248,23.3128865186598,26.9339796064715,30.7644846001404,34.1629177316771,37.9633149524178,40.9780107520221
0.99565,0.425536864329337,1.94443082521042,4.13217728848902,6.80221865910392,9.88582290958474,12.790925126233,16.2033893667381,17.6345816504348,23.4764716088843,27.1328969717246,31.0125886221996,34.4528183087813,38.2859727671808,41.3299425424221
