phase_(f*t)[-],z_mat_sin_01[mm],z_mat_sin_02[mm],z_mat_sin_03[mm],z_mat_sin_04[mm],z_mat_sin_05[mm],z_mat_sin_06[mm],z_mat_sin_07[mm],z_mat_sin_08[mm],z_mat_sin_09[mm],z_mat_sin_10[mm],z_mat_sin_11[mm],z_mat_sin_12[mm],z_mat_sin_13[mm],z_mat_sin_14[mm]
0.83565,40.7762188400828,77.8515519453926,116.945692503097,155.464403868482,194.974600255857,230.040575733873,268.534767510176,306.556742508775,342.80787445155,381.931463103463,419.991957523273,457.69320089064,496.11163756317,527.592303616398
0.84565,40.7730466929363,77.8557050714385,116.956584987239,155.486611764464,195.012895417302,230.100626196596,268.620508574863,306.682147465199,342.958961111623,382.12616076768,420.228100795241,457.965529137587,496.435062818239,527.94524843282
0.85565,40.7698212743006,77.8596102989185,116.966703298462,155.507228516768,195.048621174796,230.15673802163,268.700629787694,306.799441758304,343.10021067706,382.308466104098,420.449233437575,458.220546903768,496.738441464424,528.276021893044
0.86565,40.7665553134295,77.8632522156838,116.976007504413,155.526172760491,195.081636535095,230.208689761238,268.774814946847,306.9081624811,343.231065700356,382.47765963684,420.654482740759,458.457247750568,497.020576204808,528.583318585341
0.87565,40.7632616995785,77.8666164487528,116.984460885643,155.543369731357,195.111811201657,230.256276385636,268.842771277391,307.007880562564,343.351009756517,382.633073636332,420.843038679565,458.674697527883,497.280353582468,528.865925750054
0.88565,40.7599534311368,77.8696897210346,116.992030080516,155.558751560781,195.139026088856,230.29931009216,268.904230586736,307.098202460986,343.45956948115,382.774094754517,421.014157109845,458.872038060784,497.516748374773,529.122728065818
0.89565,40.7566435643285,77.8724599037274,116.99868521688,155.572257543707,195.163173791968,230.33762104643,268.958950323066,307.178771717097,343.556316438618,382.900166445471,421.167162705331,459.048490536345,497.728827639478,529.352712051212
0.90565,40.7533451616857,77.8749160641858,117.004400029952,155.583834378191,195.18415901104,230.371058052611,269.00671453258,307.249270360852,343.64086881288,383.010791161824,421.301451622839,459.203358577257,497.915754396614,529.554970064516
0.91565,40.7500712404968,77.8770485090666,117.009151965974,155.593436375758,195.201898926998,230.399489150117,269.047334711764,307.30942016631,343.712892914342,383.105532318361,421.416493885362,459.336030990117,498.076790931669,529.728703885755
0.92565,40.7468347214331,77.8788488225841,117.012922271228,155.601025641709,195.216323528501,230.422802134394,269.08065055133,307.358983749671,343.772104496781,383.18401601502,421.511835473649,459.445984177523,498.211301707011,529.873227866908
0.93565,40.7436483775565,77.8803098997232,117.015696066039,155.606572224679,195.227375888235,230.440904999744,269.106530568879,307.397765506114,343.818269879133,383.245932512507,421.587100118007,459.532784204477,498.318755870061,529.987971637847
0.94565,40.7405247839108,77.88142597428,117.017462403508,155.610054234839,195.235012387586,230.453726302428,269.124872627805,307.425612381763,343.851206867723,383.291037454692,421.641990783271,459.596088510927,498.398729348329,530.072482357331
0.95565,40.737476267893,77.8821926416181,117.018214312707,155.611457930285,195.239202888779,230.461215442622,269.135604340382,307.442414477724,343.870785475306,383.319152832977,421.676290841062,459.635647263698,498.450906523033,530.126426500159
0.96565,40.734514860603,77.8826068760518,117.017948826194,155.610777771273,195.239930853822,230.463342864111,269.138683353442,307.448105483798,343.876928434061,383.330167688806,421.689864924722,459.651304342464,498.475081474701,530.149591173443
0.97565,40.7316522493626,77.8826670427871,117.016666991724,155.608016442079,195.237193409768,230.460100170935,269.134097515527,307.442662940186,343.869611500538,383.324038551576,421.682659463544,459.642997955889,498.471158795843,530.141884956801
0.98565,40.7288997315904,77.8823729043733,117.014373868111,155.603184840409,195.23100136006,230.451500160521,269.121864924846,307.426108326121,343.848863551331,383.300789610193,421.654702894191,459.610760885486,498.439153967481,530.10333826315
0.99565,40.7262681702167,77.8817256216403,117.011078505266,155.596302034387,195.221379141887,230.437576773182,269.102033857845,307.3985069751,343.814766469114,383.260512617605,421.606105548472,459.554720356244,498.379193298052,530.03410321868
